Día,Mes,Año,Dolar_Compra,Dolar_Venta,EBORU_Dolar_Compra,EBORU_Dolar_Venta,Euro_Compra,Euro_Venta,Arg_Compra,Arg_Venta,Br_Compra,Br_Venta
4,Jul,2017,28.05,29.15,28.33,28.89,31.08,33.95,1.41,1.91,8.32,9.02
5,Jul,2017,28.19,29.29,28.49,29,31.21,34.08,1.41,1.91,8.34,9.04
6,Jul,2017,28.33,29.53,28.66,29.19,31.36,34.35,1.4,1.9,8.43,9.13
7,Jul,2017,28.44,29.64,28.79,29.3,31.69,34.71,1.41,1.91,8.45,9.15
10,Jul,2017,28.4,29.6,28.77,29.25,31.59,34.6,1.42,1.92,8.48,9.18
11,Jul,2017,28.3,29.5,28.64,29.15,31.48,34.48,1.41,1.91,8.51,9.21
12,Jul,2017,28.23,29.43,28.58,29.09,31.58,34.61,1.41,1.91,8.52,9.22
13,Jul,2017,28.13,29.33,28.5,29.01,31.33,34.33,1.41,1.91,8.61,9.31
14,Jul,2017,28.17,29.37,28.51,29.04,31.33,34.33,1.41,1.91,8.61,9.31
17,Jul,2017,28.02,29.22,28.36,28.87,31.34,34.35,1.41,1.91,8.64,9.34
19,Jul,2017,28.03,29.23,28.38,28.89,31.38,34.39,1.4,1.9,8.64,9.34
20,Jul,2017,28.02,29.22,28.36,28.88,31.48,34.5,1.38,1.88,8.74,9.44
21,Jul,2017,28.02,29.22,28.36,28.88,31.48,34.5,1.38,1.88,8.74,9.44
24,Jul,2017,27.88,29.08,28.22,28.73,31.75,34.8,1.35,1.85,8.42,9.72
25,Jul,2017,27.88,29.08,28.22,28.74,31.67,34.72,1.3,1.9,8.4,9.7
26,Jul,2017,27.89,29.09,28.23,28.74,31.7,34.75,1.29,1.89,8.34,9.64
27,Jul,2017,27.79,28.99,28.12,28.63,31.79,34.85,1.29,1.89,8.39,9.69
28,Jul,2017,27.75,28.95,28.09,28.6,31.62,34.66,1.27,1.87,8.33,9.63
31,Jul,2017,27.68,28.88,28.03,28.54,31.74,34.8,1.25,1.85,8.37,9.67
1,Ago,2017,27.64,28.84,27.98,28.5,31.91,34.99,1.21,1.91,8.41,9.71
2,Ago,2017,27.72,28.92,28.08,28.6,31.91,34.99,1.22,1.92,8.19,9.49
3,Ago,2017,27.78,28.98,28.11,28.63,32.13,35.23,1.22,1.92,8.27,9.47
4,Ago,2017,27.78,28.98,28.11,28.63,32.2,35.19,1.21,1.91,8.28,9.48
7,Ago,2017,27.85,29.05,28.2,28.72,32.03,35.02,1.22,1.92,8.28,9.48
8,Ago,2017,28,29.2,28.36,28.87,32.25,35.24,1.22,1.92,8.33,9.53
9,Ago,2017,28,29.2,28.34,28.85,32.12,35.1,1.22,1.92,8.33,9.53
10,Ago,2017,28.16,29.36,28.51,29.03,32.33,35.32,1.23,1.93,8.3,9.5
11,Ago,2017,28.22,29.42,28.56,29.07,32.47,35.47,1.23,1.93,8.27,9.47
14,Ago,2017,28.25,29.45,28.58,29.09,32.64,35.65,1.23,1.93,8.29,9.49
15,Ago,2017,28.1,29.3,28.44,28.95,32.35,35.34,1.28,1.98,8.19,9.39
16,Ago,2017,28,29.2,28.33,28.87,32.1,35.07,1.28,1.98,8.16,9.36
17,Ago,2017,28,29.2,28.34,28.85,32.16,35.21,1.26,1.96,8.25,9.45
18,Ago,2017,28,29.2,28.35,28.87,32.09,35.13,1.25,1.95,8.18,9.38
21,Ago,2017,28.1,29.3,28.4,29,32.27,35.33,1.27,1.97,8.3,9.5
22,Ago,2017,28.2,29.4,28.55,29.07,32.5,35.72,1.27,1.97,8.26,9.46
23,Ago,2017,28.13,29.33,28.5,29.01,32.27,35.46,1.27,1.97,8.24,9.44
24,Ago,2017,28.25,29.45,28.57,29.1,32.59,35.81,1.28,1.98,8.37,9.57
28,Ago,2017,28.18,29.38,28.51,29.02,32.47,35.67,1.28,1.98,8.3,9.5
29,Ago,2017,28.1,29.3,28.42,28.95,32.85,36.1,1.27,1.97,8.23,9.43
30,Ago,2017,28.16,29.36,28.5,29.01,32.96,36.22,1.26,1.96,8.24,9.44
31,Ago,2017,28.14,29.34,28.47,29,32.66,35.89,1.26,1.96,8.27,9.47
1,Set,2017,28.23,29.43,28.5,29.12,32.78,36.02,1.27,1.97,8.32,9.52
4,Set,2017,28.2,29.4,28.55,29.07,32.66,35.88,1.28,1.98,8.34,9.54
5,Set,2017,28.19,29.39,28.53,29.05,32.75,35.98,1.27,1.97,8.35,9.55
6,Set,2017,28.2,29.3,28.49,29.02,32.81,35.92,1.27,1.97,8.38,9.58
7,Set,2017,28.3,29.3,28.55,29.06,32.89,35.89,1.28,1.98,8.45,9.65
8,Set,2017,28.33,29.33,28.56,29.09,33.19,36.2,1.28,1.98,8.47,9.67
11,Set,2017,28.25,29.25,28.5,29.01,33.19,36.22,1.27,1.97,8.47,9.67
